locust-worker  | [2026-04-07 08:33:20,139] 6be49cab011a/INFO/locust.main: Starting Locust 2.43.4
locust-worker  | [2026-04-07 08:35:44,169] 6be49cab011a/INFO/root: Kth prime result for k=48180: {"inputK":48180,"result":587659,"timeTaken":"66ms"}
locust-worker  | [2026-04-07 08:35:44,173] 6be49cab011a/INFO/root: Check prime result for n=71911855: {"isPrime":false,"message":"71911855 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:44,179] 6be49cab011a/INFO/root: Kth prime result for k=6571: {"inputK":6571,"result":65777,"timeTaken":"2ms"}
locust-worker  | [2026-04-07 08:35:45,071] 6be49cab011a/INFO/root: Check prime result for n=98522946: {"isPrime":false,"message":"98522946 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:45,086] 6be49cab011a/INFO/root: Range prime result for n=203329: {"input":203329,"totalPrimesFound":18250,"timeTaken":"12ms"}
locust-worker  | [2026-04-07 08:35:45,090] 6be49cab011a/INFO/root: Range prime result for n=10452: {"input":10452,"totalPrimesFound":1277,"timeTaken":"0ms"}
locust-worker  | [2026-04-07 08:35:46,069] 6be49cab011a/INFO/root: Kth prime result for k=28953: {"inputK":28953,"result":336961,"timeTaken":"18ms"}
locust-worker  | [2026-04-07 08:35:46,144] 6be49cab011a/INFO/root: Kth prime result for k=48640: {"inputK":48640,"result":593903,"timeTaken":"71ms"}
locust-worker  | [2026-04-07 08:35:46,174] 6be49cab011a/INFO/root: Check prime result for n=10873307: {"isPrime":false,"message":"10873307 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:46,199] 6be49cab011a/INFO/root: Range prime result for n=373794: {"input":373794,"totalPrimesFound":31808,"timeTaken":"21ms"}
locust-worker  | [2026-04-07 08:35:46,204] 6be49cab011a/INFO/root: Check prime result for n=97559349: {"isPrime":false,"message":"97559349 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:47,063] 6be49cab011a/INFO/root: Check prime result for n=38775740: {"isPrime":false,"message":"38775740 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:47,069] 6be49cab011a/INFO/root: Kth prime result for k=5681: {"inputK":5681,"result":55967,"timeTaken":"2ms"}
locust-worker  | [2026-04-07 08:35:47,079] 6be49cab011a/INFO/root: Range prime result for n=147621: {"input":147621,"totalPrimesFound":13645,"timeTaken":"6ms"}
locust-worker  | [2026-04-07 08:35:47,082] 6be49cab011a/INFO/root: Check prime result for n=62015276: {"isPrime":false,"message":"62015276 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:47,090] 6be49cab011a/INFO/root: Check prime result for n=65099919: {"isPrime":false,"message":"65099919 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:47,097] 6be49cab011a/INFO/root: Range prime result for n=95365: {"input":95365,"totalPrimesFound":9192,"timeTaken":"3ms"}
locust-worker  | [2026-04-07 08:35:48,047] 6be49cab011a/INFO/root: Check prime result for n=92758461: {"isPrime":false,"message":"92758461 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:48,090] 6be49cab011a/INFO/root: Kth prime result for k=47094: {"inputK":47094,"result":573487,"timeTaken":"38ms"}
locust-worker  | [2026-04-07 08:35:48,096] 6be49cab011a/INFO/root: Range prime result for n=127060: {"input":127060,"totalPrimesFound":11905,"timeTaken":"5ms"}
locust-worker  | [2026-04-07 08:35:48,134] 6be49cab011a/INFO/root: Range prime result for n=87736: {"input":87736,"totalPrimesFound":8520,"timeTaken":"36ms"}
locust-worker  | [2026-04-07 08:35:48,135] 6be49cab011a/INFO/root: Check prime result for n=8461773: {"isPrime":false,"message":"8461773 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:48,137] 6be49cab011a/INFO/root: Check prime result for n=6897381: {"isPrime":false,"message":"6897381 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:48,138] 6be49cab011a/INFO/root: Check prime result for n=81794601: {"isPrime":false,"message":"81794601 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:48,179] 6be49cab011a/INFO/root: Check prime result for n=42789953: {"isPrime":true,"message":"42789953 là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:49,052] 6be49cab011a/INFO/root: Check prime result for n=53054958: {"isPrime":false,"message":"53054958 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:49,055] 6be49cab011a/INFO/root: Check prime result for n=24837854: {"isPrime":false,"message":"24837854 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:49,072] 6be49cab011a/INFO/root: Range prime result for n=130206: {"input":130206,"totalPrimesFound":12177,"timeTaken":"6ms"}
locust-worker  | [2026-04-07 08:35:49,086] 6be49cab011a/INFO/root: Range prime result for n=147000: {"input":147000,"totalPrimesFound":13591,"timeTaken":"6ms"}
locust-worker  | [2026-04-07 08:35:49,089] 6be49cab011a/INFO/root: Range prime result for n=50225: {"input":50225,"totalPrimesFound":5155,"timeTaken":"1ms"}
locust-worker  | [2026-04-07 08:35:50,055] 6be49cab011a/INFO/root: Kth prime result for k=14113: {"inputK":14113,"result":153059,"timeTaken":"6ms"}
locust-worker  | [2026-04-07 08:35:50,060] 6be49cab011a/INFO/root: Range prime result for n=81376: {"input":81376,"totalPrimesFound":7964,"timeTaken":"3ms"}
locust-worker  | [2026-04-07 08:35:50,078] 6be49cab011a/INFO/root: Kth prime result for k=25372: {"inputK":25372,"result":291829,"timeTaken":"15ms"}
locust-worker  | [2026-04-07 08:35:50,135] 6be49cab011a/INFO/root: Check prime result for n=37952367: {"isPrime":false,"message":"37952367 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:50,154] 6be49cab011a/INFO/root: Kth prime result for k=27178: {"inputK":27178,"result":314723,"timeTaken":"17ms"}
locust-worker  | [2026-04-07 08:35:50,157] 6be49cab011a/INFO/root: Check prime result for n=29005154: {"isPrime":false,"message":"29005154 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:50,177] 6be49cab011a/INFO/root: Check prime result for n=16153305: {"isPrime":false,"message":"16153305 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:51,063] 6be49cab011a/INFO/root: Range prime result for n=147458: {"input":147458,"totalPrimesFound":13632,"timeTaken":"6ms"}
locust-worker  | [2026-04-07 08:35:51,065] 6be49cab011a/INFO/root: Range prime result for n=1495: {"input":1495,"totalPrimesFound":238,"timeTaken":"0ms"}
locust-worker  | [2026-04-07 08:35:51,067] 6be49cab011a/INFO/root: Kth prime result for k=3714: {"inputK":3714,"result":34763,"timeTaken":"1ms"}
locust-worker  | [2026-04-07 08:35:51,077] 6be49cab011a/INFO/root: Kth prime result for k=15008: {"inputK":15008,"result":163909,"timeTaken":"8ms"}
locust-worker  | [2026-04-07 08:35:51,081] 6be49cab011a/INFO/root: Kth prime result for k=8399: {"inputK":8399,"result":86369,"timeTaken":"3ms"}
locust-worker  | [2026-04-07 08:35:51,083] 6be49cab011a/INFO/root: Range prime result for n=32203: {"input":32203,"totalPrimesFound":3455,"timeTaken":"1ms"}
locust-worker  | [2026-04-07 08:35:51,102] 6be49cab011a/INFO/root: Range prime result for n=311543: {"input":311543,"totalPrimesFound":26916,"timeTaken":"17ms"}
locust-worker  | [2026-04-07 08:35:51,103] 6be49cab011a/INFO/root: Check prime result for n=60003809: {"isPrime":false,"message":"60003809 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:51,188] 6be49cab011a/INFO/root: Kth prime result for k=45639: {"inputK":45639,"result":554167,"timeTaken":"81ms"}
locust-worker  | [2026-04-07 08:35:51,269] 6be49cab011a/INFO/root: Range prime result for n=467089: {"input":467089,"totalPrimesFound":38990,"timeTaken":"77ms"}
